brand_EN,brand_CH,product,score
Kanebo,佳麗寶-專櫃,精純角質美容液,5.8
yuxia,悠絲亞,AC化妝水(紅),5.8
SHISEIDO,資生堂-東京櫃,碧麗妃青春草本化妝水(清爽型) Benefique Nutrient Lotion (Light),5.8
SHISEIDO,資生堂-國際櫃,優白按摩精 UV White Whitening Effector,5.8
SOFINA,蘇菲娜,透美顏飽水控油雙效化妝水(美白),5.7
DR.WU,達爾膚醫美保養系列,玻尿酸保濕精華露,5.7
AQUA LABEL,水之印,胺基酸亮白化粧水(清爽型),5.7
CLARINS,克蘭詩,智慧美白高機能化妝水(潤澤) WHITE PLUS Brightening Aqua Treatment Lotion,5.7
Hada-Labo,肌研,極潤α抗皺緊實高機能化粧水(濃潤型),5.7
,23.5°N北緯研製,米粹舒緩活酵水精華,5.7
Labo Labo,,零毛孔緊膚化粧水 Super-Keana Lotion,5.7
L`OREAL PARiS,巴黎萊雅,水清新3合1毛孔緊緻保濕精華露,5.7
FRANCENA,法蘭西娜,玫瑰保濕嫩白化妝水 Rose Flower Moisturizing Toner,5.7
Bio-essence,碧歐斯,24K生物黃金精華露,5.7
KOSE,高絲-專櫃,雪肌精(極潤型),5.7
VICHY,薇姿,智慧動能保濕精萃水 AQUALIA ESSENCE WATER,5.7
L`OREAL PARiS,巴黎萊雅,水清新3合1保濕智慧水,5.7
FRANCENA,法蘭西娜,保濕控油舒敏化妝水,5.7
Whoo,后,天氣丹津率享滋養液,5.7
SOFINA,蘇菲娜,芯美顏 美白滲透露,5.7
UNT,,玻尿酸保濕賦活露  D'Origine Hydrating Toner,5.7
Faye,幸福菲雅,平衡感化妝水 Faye “morning dew” Toning Water,5.7
L'OCCITANE,歐舒丹,活膚精華露 Essential Water Face,5.7
TAIYEN,台塩生技,全新膠原蛋白化妝水,5.7
MINON AMINO MOIST,蜜濃,超濃潤保濕化粧水(濃潤型II),5.6
su:m37,甦秘,活水潤澤酵能水凝露,5.6
AZZEEN,芝研,彈力亮澤濃潤化粧水,5.6
Dr.HUANG,,肌本柔潤保濕露 Porphyridium Cruentum Moisturizing Lotion,5.6
SKINFOOD,,萵苣黃瓜水嫩化妝水,5.6
LUSH,,茶樹之歌 柔膚水 Tea Tree Water,5.6
Aesop,,香芹籽抗氧化活膚調理液 Parsley Seed Anti-Oxidant Facial Toner,5.6
SHISEIDO,資生堂-東京櫃,碧麗妃青春草本均衡液 Benefique Herbal Balancing,5.6
VICHY,薇姿,溫泉舒緩噴霧 Thermal spa water,5.6
SK-II品牌活動中,,亮采化妝水 Clear Lotion,5.6
SHISEIDO,資生堂-國際櫃,活顏悅色均衡柔膚水 The Skincare Hydro-Balancing Softner,5.6
EVITA,艾薇塔,紅玫瑰潤澤化粧水(極潤),5.5
YSL,聖羅蘭,名模肌密保濕持妝噴霧,5.5
DR.WU,達爾膚醫美保養系列,新淨痘粉刺調理露,5.5
IPSA,茵芙莎,自律循環液（舒緩2）,5.6
IPSA,茵芙莎,自律循環液（舒緩１）,5.6
CLINIQUE,倩碧,三步驟溫和潔膚水 Clarifying Lotion Twice A Day Exfoliator,5.6
Curel,珂潤,潤浸保濕化粧水II(輕潤型),5.6
shu uemura,植村秀,紅の活妍肌精化妝水(清爽/滋潤型) red:juvenus vitalizing refining lotion,5.6
,專科,美白專科化粧水(滋潤型),5.6
MUJI,無印良品,敏感肌化妝水(清爽型) Light Toning Water,5.6
KIEHL`S,契爾氏,冰河保濕機能水 Ultra Facial Toner,5.6
PAUL&JOE,,橙花露N PAUL&JOE MOISTURE LOTION N,5.6
SHISEIDO,資生堂-國際櫃,新肌密淨白CE化妝水,5.6
Neogence,霓淨思,再生修護肌能水,5.6
SUNTORY,三得利,vitoas蜜得絲 多效極妍鎖濕菁華,5.6
Dr.Ci:Labo,,超瞬間滲透美妍水EX,5.6
Freshel,膚蕊,深層涵水保濕露(極潤),5.6
NARUKO,牛爾親研,森玫瑰水立方晶凍精華化妝水EX Rose & BOTANIC HA Aqua Cubic Jelly Lotion EX,5.6
Imju,,薏仁清潤化妝水,5.6
ERNO LASZLO,奧倫納素,極效保濕精萃露 Hydraphel Skin Supplement,5.6
Whoo,后,拱辰享氣津滋養液 Gonginyang In-Yang Balancer,5.6
UNITEC,彤妍,燕窩素彈力保濕化妝水,5.6
Bio-essence,碧歐斯,燕窩滋養膠原白機能水,5.6
WHITE FORMULA,自白肌,美白熊果素激光化妝水 Whitening Toner With Arbutin,5.5
,自然之名,雪玫瑰保濕精萃花水 SNOW ROSE HYDRATING FLOWER WATER,5.5
CLARINS,克蘭詩,煥顏緊緻彈力精華露–檸檬百里香 Extra-Firming Treatment Essence Bounciness,5.5
CLARINS,克蘭詩,漾采肌活精華露- 紫絨草 Multi-Active Treatment Essence Vitality,5.5
AYURA,,毛孔冰沁凝露,5.5
ROHTO,日本樂敦,高純度維他命C美白化粧水,5.5
IPSA,茵芙莎,ME濕潤平衡液(基礎2),5.5
ORBIS,,和漢淨肌化妝水L,5.5
,女兒,女兒化妝水,5.5
ETUDE HOUSE,,緊囊妙劑十合一毛孔對策調理液,5.5
AYURA,,活感平衡液 I、Ⅱ、 Ⅲ Wellbalance Balancing Primer WT I、Ⅱ、 Ⅲ,5.5
AYURA,,巡白水 Wellbalance Clarifying Refiner WT,5.5
Neogence,霓淨思,玻尿酸保濕化妝水,5.5
SHISEIDO,資生堂-國際櫃,淨白肌密柔膚水 I．II WHITENING CLEAR LOTION,5.5
PERTH’S KEY,栢司金,有機山茶花露水,5.5
SHISEIDO,資生堂-東京櫃,敏感話題淨荳化粧水 d'program acne care lotion,5.5
Nature&Co,,天然果油柔膚露,5.5
KOSE,高絲-專櫃,雪肌精極淬精質化粧水,5.5
JUJU,,透明質酸清爽保濕化粧水,5.5
MUJI,無印良品,舒緩美肌化妝水(滋潤型),5.5
Mdmmd.,明洞國際,Upra™醒膚凍齡露,5.5
LA ROCHE-POSAY,理膚寶水,多容安舒緩保濕化妝水 Toleriane Hydration Lotion,5.5
Avene,雅漾,玻尿酸保濕精華露 Hydrating lotion,5.5
DR.WU,達爾膚醫美保養系列,杏仁酸亮白化妝水 Intensive Renewal Toner With Mandelic Acid,5.5
DR.WU,達爾膚醫美保養系列,淨痘粉刺調理化妝水 ACNECUR PORE REFINING TONER WITH AC.NET&#8482,5.5
Kanebo,佳麗寶-專櫃,潤膚露N Impress Lotion,5.5
Avene,雅漾,舒護活泉化妝水 Avene Gentle Toner,5.5
,專科,美白專科化粧水(清爽型),5.5
AYURA,,活感平衡液I．II．III SENSIENCE BALANCING PRIMER  I．II．III,5.5
DHC,,Q10晶妍緊緻化粧水 DHC Q Lotion,5.5
SKINFOOD,,水蜜桃清酒緊緻化妝水,5.5
butyshop,,平衡舒緩水 Balancing Lotion,5.5
shu uemura,植村秀,海洋深層保濕化妝水(清爽),5.5
KIEHL`S,契爾氏,藍色收斂水 Blue Astringent Herbal Lotion,5.5
SHISEIDO,資生堂-國際櫃,愛玉膚舒美露 Facial Soothing Lotion,5.5
LANCOME,蘭蔻,溫和保濕水 Tonique Confort,5.5
DeRigin,,潤・植萃角鯊化妝水,5.4
OGUMA,水美媒,秘之湧水美媒,5.4
TUNEMAKERS,日本原液保養,原液保濕化妝水 Original liquid moisturizing lotion,5.4
,專科,完美保濕化粧水(滋潤型),5.4
SHISEIDO,資生堂-東京櫃,怡麗絲爾淨白柔膚水 II滋潤型,5.4
Dr.Satin,,魚子奇蹟高水感保濕菁露,5.4
,上善如水,晶透亮白活膚露 Moisture Lotion,5.4
BOTANIC by Neogence,博丹時萃,玫瑰水凝露,5.4
FOR BELOVED ONE,寵愛之名,三分子玻尿酸保濕化妝水,5.4
SOFINA,蘇菲娜,芯美顏 美白瀅潤滲透露  (滋潤型),5.4
Skin Advanced,,白金舒潤水凝露,5.4
CREMORLAB,,絲絨雪花保濕精華噴霧 ydro Plus Snow Falls Essential Mist,5.4
Junkisei Prime,潤肌精,植淬白潤肌精化粧水I(清爽型),5.4
CREMORLAB,,T.E.N.礦物保濕高效修護精華露 T.E.N. Cremor Mineral Treatment Essence,5.4
BEVY C.,妝前保養,極淬美白化妝水,5.4
LANCOME,蘭蔻,菁萃亮妍能量精露(清爽型) LOTION QUOTIDIENNE DEGRISE LE TEINT ET RECHARGE D’ENERGIE,5.4
WHITE FORMULA,自白肌,傳明酸美白化粧水,5.4
Whoo,后,拱辰享超效保濕水凝露 Soo Yeon Balancer,5.4
,菊正宗,日本酒化妝水,5.4
Sulwhasoo,雪花秀,滋陰水 Essential Balancing Water,5.4
Paradiso Garden,天堂花園,仙履蘭天堂奇蹟活膚液 Paphiopedilum Revitalizing Lotion,5.4
Freshel,膚蕊,高滲透化粧水(極潤),5.4
MENTHOLATUM,曼秀雷敦,Acnes抗痘粉狀調理水,5.4
BEVY C.,妝前保養,妝前保濕化妝水 Lumiwhite Moist Up Lotion,5.4
OGUMA,水美媒,水美媒2X AquaKey 2X,5.4
OLAY,歐蕾,新生高效緊緻活膚露 micro-sculpting revitalizing essence water,5.4
SHISEIDO,資生堂-國際櫃,時空琉璃御藏柔膚露 Concentrated Balancing Softener,5.4
Darphin,朵法,全效舒緩化妝水 Intral Toner,5.4
AYURA,,律化活感平衡液,5.4
SHISEIDO,資生堂-東京櫃,莉薇特麗全效化妝水(I) Revital Lotion EX I,5.4
AYURA,,活感平衡液EX Ⅰ・Ⅱ・Ⅲ AYURA  BALANCING PRIMER EX　Ⅰ&#12539;Ⅱ&#12539;Ⅲ,5.4
KOSE,高絲-開架式,珠白瑩透化妝水,5.4
LANCOME,蘭蔻,清透淨油緊膚水 Tonique Pure Focus,5.4
SHISEIDO,資生堂-國際櫃,"優白柔膚水 UV White Whitening Softener(I, II)",5.4
Hada-Labo,肌研,白潤美白化粧水(潤澤型),5.4
divinia,蒂芬妮亞,水肌精機能水(滋潤型),5.4
ETUDE HOUSE,,緊囊妙劑七合一毛孔對策調理液,5.4
Neogence,霓淨思,玻尿酸DNA彈力豐潤化妝水 HYALURONIC ACID DNA MOISTURIZING LOTION,5.4
ORIGINS,品木宣言,青春無敵調理機能水(第二代),5.4
Morgan`s,,皇家白薔薇逆轉回春美白精萃能量露 White Rose 10 Energy Essence Intense Moisture Lotion,5.4
KIEHL`S,契爾氏,冰河保濕無油清爽化妝水 ULTRA FACIAL OIL-FREE TONER,5.4
SOFINA,蘇菲娜,透美顏保濕露,5.4
AYURA,,拋光循活緊顏水 SENSIENCE REFINING CIRCULOTION,5.4
AQUA LABEL,水之印,緊緻活妍煥膚水(潤澤型/豐潤型),5.4
GUERLAIN,嬌蘭,柔滑盈潤化妝水,5.4
EVITA,艾薇塔,黑玫瑰緊緻化粧水(極潤),5.3
Melvita,蜜葳特,玫瑰花粹,5.3
SHISEIDO,資生堂-東京櫃,濾鏡平衡美肌水,5.3
WHITE FORMULA,自白肌,特濃玻尿酸化粧水 Super Moist Toner With Hyaluronic Acid,5.3
,好壞,溫和角質粉刺呼吸露 anti-acne gentle exfoliating essence,5.3
Domohorn Wrinkle,朵茉麗蔻,保濕液,5.3
AYURA,,水潤透白活感平衡液WA (混合乾燥),5.3
LA ROCHE-POSAY,理膚寶水,水感保濕清新化妝水 HYDRAPHASE Cosmetic Water,5.3
DHC,,小時代輕羽水凝露 DHC Treatment Nail Color Remover,5.3
Neogence,霓淨思,控油平衡收斂水 Fresh Cooling Astringent Toner,5.3
BOTANIC by Neogence,博丹時萃,雪絨花賦活露  Edelweiss Essential Water,5.3
NARUKO,牛爾親研,美人茶舒活青春化妝水,5.3
Neutrogena,露得清,細白晶透肌底液 Fine Fairness Treatment Lotion  Pre- essence,5.3
THREE品牌活動中,,賦活水凝露,5.3
WHITE FORMULA,自白肌,傳明酸清爽美白化粧水 Intense Brightening Light Toner With Tranexamic Acid,5.3
AMABILIS,,蘭胚DNA傳導密碼14’賦活露 Anti-age 14X Activator,5.3
DHC,,PQQ活顏抗痕化粧水,5.3
Curel,珂潤,潤浸保濕化粧水I(清爽型),5.3
Bio-essence,碧歐斯,神奇生物噴霧,5.3
Kanebo,佳麗寶-專櫃,保濕活膚露,5.3
CAUDALIE,歐緹麗,活性爽膚水 BEAUTY ELIXIR Smoothing Glowing Complexion,5.3
DAISO,大創,滋潤Q10化粧水,5.3
,酒藏娘,青春露,5.3
Hypanique,涵沛,涵沛吟釀活效雪肌青春露,5.3
JUJU,,透明質酸保濕化粧水,5.3
LANCOME,蘭蔻,360°超瞬白精華調理液 BLANC EXPERT Ultimate Whitening Beauty Lotion (Moist/Very Moist),5.3
butyshop,,抗痘粉刺水 Acne Calming Lotion,5.3
FOR BELOVED ONE,寵愛之名,極致保濕修護化妝水 Extreme Hydration Treatment Toner,5.3
MAJIAMI,瑪奇亞米,黑絕肌美白保濕凝露,5.3
WSPA,英爵醫美,光療保濕活膚露 Intensive Hydrating Skin Elixir,5.3
SOFINA,蘇菲娜,透美顏美白保濕露,5.3
KAN'S,韓束,特潤修護神仙水 SUPER TREATMENT ESSECE,5.3
Bio-essence,碧歐斯,雙重煥白化妝水,5.3
Junkisei Prime,潤肌精,涵萃潤肌精保濕化粧水,5.3
Kanebo,佳麗寶-專櫃,角質美容液N,5.3
Prof. TK,,肌淨透瞬效亮白化妝水,5.3
am+pm skincare,,24hrs三重玻尿酸化妝水(加濕型),5.3
,專科,保濕專科化粧水(滋潤型),5.3
DHC,,極效水潤保濕化粧水(滋養型) DHC Double Moisture Lotion,5.3
FOR BELOVED ONE,寵愛之名,清爽快樂控油化妝水 Delight Fresh Oil Balance Toner,5.3
Junkisei Prime,潤肌精,高保濕化粧水 lotion,5.3
ettusais,艾杜紗,荳蔻保濕水菁華,5.3
Jurlique,茱莉蔻,玫瑰活膚露 Rosewater Balancing Mist,5.3
LUSH,,水水動人 柔膚水 BREATH OF FRESH AIR,5.3
CLINIQUE,倩碧,潔膚水,5.3
Taiwan Sugar,台糖,平衡保濕化妝水 Balancing Moisture Toner,5.3
SISLEY,希思黎,花香化粧水,5.3
IPSA,茵芙莎,角質調理液 EX 1,5.3
GUERLAIN,嬌蘭,滋養緊緻化妝水,5.3
CLINIQUE,倩碧,保濕潔膚水 Clarifying Moisture Lotion,5.3
Dior,迪奧,逆時活膚化粧水 Wrinkle Pre-Treatment Lotion,5.3
Biotherm,碧兒泉,活氧青春二次元水精萃 Clarifying Lotion,5.3
SOFINA,蘇菲娜,透美顏飽水控油雙效噴霧,5.2
A.H.C,,[海外販售] Hyaluronic Toner,5.2
AQUA LABEL,水之印,胺基酸彈潤化粧水(極潤型),5.2
ORBIS,,水原力化妝水(清爽),5.2
Neogence,霓淨思,玻尿酸舒活噴霧水,5.2
FANCL,,修護肌底液-滋潤,5.2
,自然之名,薰衣草舒緩精萃花水 LAVENDER CALMING FLORAL WATER,5.2
CLARINS,克蘭詩,極緻活齡豐潤精華露–葛根 Super Restorative Treatment Essence Smoothness,5.2
UNT,,頂級棉花凝粹柔膚露,5.2
SHISEIDO,資生堂-國際櫃,美透白雙核晶白露,5.2
Erborian,艾博妍,柚萃保濕精露 Yuza Double Lotion,5.2
SOFINA,蘇菲娜,潤白美膚甦活露 II 升級版,5.2
SHISEIDO,資生堂-東京櫃,彈潤肌密膠原保濕水II(滋潤型),5.2
DORETTA,朵芮,鉑金彈潤微導絲滑晶霧 Gold Platinum Retexturizing Facial Essence Mist,5.2
Freshel,膚蕊,深層涵水保濕露(潤澤),5.2
Freshel,膚蕊,深層涵水保濕露(美白)清爽型,5.2
Curel,珂潤,控油保濕化粧水,5.2
,北川本家,美肌舒緩控油清酒化妝水,5.2
Cellina,雪芙蘭,濃潤保濕化妝水,5.2
L`OREAL PARiS,巴黎萊雅,水清新葡萄籽面膜精華水 HYDARFRESH  HYDRATION+ANTIOX ACTIVE MASK-IN LOTION,5.2
BOBBI BROWN,芭比波朗,晶鑽桂馥賦活露 Extra Treatment Lotion,5.2
hydrobalance,水平衡,保水網化妝水(升級版),5.2
MEISHOKU,明色,Organic Rose調理化妝水,5.2
FANCL,,水潤光澤化妝水(清爽型) MOISTURIZING LOTION,5.2
,美肌之誌,櫻花系-雙效水潤亮肌精,5.2
BiSachi,美肌幸,淨潤多效保濕露(潤澤型),5.2
Dr.Douxi,朵璽,極淨保濕魔幻水,5.2
NRK essential,,玫瑰毛孔溫和收斂水 Rose Astringent Lotion,5.2
Estee Lauder,雅詩蘭黛,無限抗皺奇蹟露 Intensive Boosting Lotion Anti-Wrinkle + Lifting,5.2
GUERLAIN,嬌蘭,藍金水合彈力化妝水,5.2
Biotherm,碧兒泉,5000L極水感活泉平衡機能水,5.2
,23.5°N北緯研製,桂竹活水化妝水,5.2
LANEIGE,蘭芝,完美極效活膚露,5.2
ETUDE HOUSE,,水足感膠原凝露,5.2
de第一化粧品,,保加利亞玫瑰水 Bulgaria Rose Water,5.2
Agenil,艾潔妮,4D豐盈酸保濕化妝水,5.2
MOMUS,,玻尿酸機能保濕液 Hyaluronic Acid Hydrating Lotion,5.2
divinia,蒂芬妮亞,水肌精恆潤保濕水,5.2
,23.5°N北緯研製,紅薏仁白潤化粧水,5.2
St.Clare,聖克萊爾,玻尿酸高機能保濕液 Intensive Hydrating Toner,5.2
,森田藥粧,天然絲瓜水,5.2
AQUA LABEL,水之印,保濕潤膚水（清爽型/潤澤型）,5.2
SHISEIDO,資生堂-東京櫃,敏感話題均衡化粧水(II) d'program balance care lotion II,5.2
Dior,迪奧,水彈力保濕精華化妝水 Hydra Life Essence-in Lotion,5.2
Paula`s Choice,寶拉珍選,油水平衡緊緻化妝水 Skin Balancing Pore-Reducing Toner,5.2
MUJI,無印良品,敏感肌化妝水(滋潤型) Light Toning Water,5.2
miss SHARK,小白鯊,柔敏妍選化妝水 Soothing Lotion,5.2
LA ROCHE-POSAY,理膚寶水,多容安極效舒緩修護精華乳(清爽型) TOLERIANE ULTRA LIGHT,6.1
LA ROCHE-POSAY,理膚寶水,多容安濕潤乳液 Toleriane Fluide,6.1
SOFINA,蘇菲娜,透美顏飽水控油雙效水凝乳液,6.0
Avene,雅漾,安敏保濕水凝乳,6.0
LA ROCHE-POSAY,理膚寶水,多容安夜間修護精華乳(敏弱肌SOS精華),6.0
DR.WU,達爾膚醫美保養系列,輕角鯊潤澤精華乳,6.0
FRANCENA,法蘭西娜,控油抗痘保濕水乳液,6.0
Kanebo,佳麗寶-專櫃,潤活精純乳,6.0
DR.WU,達爾膚醫美保養系列,舒緩修復保濕水凝乳,5.9
Biotherm,碧兒泉,奇蹟活源乖乖乳,5.9
Hada-Labo,肌研,極潤金緻高效保濕精華乳,5.9
Bioderma,法國貝德瑪,淨妍毛孔細緻凝乳,5.9
Aveeno,艾惟諾,燕麥水感保濕乳 Daily Moisturizing Lotion Sheer Hydration,5.9
DMS,,角質層修護基礎乳 Base Cream classic,5.9
GIORGIO ARMANI,亞曼尼,黑曜岩活膚能量滲透乳 CREMA NERA mineral Prima lotion,5.9
OLAY,歐蕾,滋潤保濕乳液(敏感) Active Hydrating Lotion (Sensitive Skin),5.9
NeoStrata,果酸專家,果酸深層保養乳液 NeoStrata Lotion plus-15 AHA,5.9
SHISEIDO,資生堂-東京櫃,碧麗妃青春草本乳液(清爽型) Benefique Nutrient Emulsion (Light),5.9
SISLEY,希思黎,全能乳液 Ecological Compound,5.9
SOFINA,蘇菲娜,芯美顏保濕滲透乳升級版(清爽型),5.8
Whoo,后,明義享全能精華乳 All-In-One Treatment,5.8
Hada-Labo,肌研,極潤alpha緊緻彈力保濕乳液,5.8
SOFINA,蘇菲娜,透美顏水凝乳液,5.8
Whoo,后,天氣丹華炫重生乳,5.8
NeoStrata,果酸專家,乳糖酸乳液 Bionic Lotion,5.8
CHANEL,香奈兒,潤澤保濕乳液 moisture boost fluid,5.8
ALBION,,賦活彈力肌密滲透乳 INFINESSE DERMA PUMP MILK,5.7
MINON AMINO MOIST,蜜濃,豐潤保濕乳液,5.7
FORTE,台塑生醫,玻尿酸三重水潤霜後乳,5.7
ALBION,,活潤透白新晶能滲透乳II,5.7
DR.WU,達爾膚醫美保養系列,玻尿酸保濕精華乳,5.7
Avene,雅漾,修護保濕精華乳,5.7
AVIVA,,完美乳清,5.7
Stiefel,史帝富,潔美淨層脂質活膚露 PHYSIOGEL HYPOALLERGENIC Lotion,5.7
LA ROCHE-POSAY,理膚寶水,全日長效玻尿酸修護保濕乳（清爽型） HYDRAPHASE INTENSE LEGERE,5.7
SOFINA,蘇菲娜,芯美顏 滲透乳,5.7
SHISEIDO,資生堂-國際櫃,新肌密淨白CE乳液,5.7
LA ROCHE-POSAY,理膚寶水,全日清爽保濕乳 Hydraphase Light,5.7
SOFINA,蘇菲娜,透美顏飽水控油雙效水凝乳液(美白),5.6
Paula`s Choice,寶拉珍選,Omega+深層修復精華乳,5.6
Hada-Labo,肌研,白潤高效集中淡斑乳液,5.6
SHISEIDO,資生堂-國際櫃,美透白雙核晶白明肌乳SPF50+/PA++++ WHITE LUCENT ALL DAY BRIGHTENER N SPF50+/PA++++,5.6
Prof. TK,,羊珞素生肌蜜,5.6
Dr.HUANG,,肌本活潤水乳液 PatcH2O Milky Lotion,5.6
SUNTORY,三得利,vitoas蜜得絲 多效極妍鎖濕菁華,5.6
,Za,深層保濕乳液,5.6
ALBION,,活潤水彈力滲透乳II EXAGE ACTIVATION MOISTURE MILK II,5.6
SOFINA,蘇菲娜,芯美顏美白瀅潤滲透乳(清爽型),5.6
Avene,雅漾,修護保濕精華乳(滋潤型) Skin Rich Recovery Cream,5.6
ETUDE HOUSE,,水足感膠原輕盈乳 Collagen moistfull emulsion,5.6
GARNIeR,卡尼爾,青春痘毛孔調理乳,5.6
Cetaphil,舒特膚,長效潤膚乳 Moisturizing Lotion,5.6
VICHY,薇姿,新皮脂平衡精華乳 VICHY NORMADERM Tri-Active Anti-Imperfection Hydrating Care,5.6
Curel,珂潤,潤浸保濕乳液,5.6
Neogence,霓淨思,玻尿酸保濕乳液 Hyaluronic acid hydrating fluid,5.6
DERMAGOR,朵瑪,敏弱舒紅修復乳 Dermagor Erycalm Soothing Cream,5.6
SOFINA,蘇菲娜,芯美顏 美白滲透乳,5.6
Paula`s Choice,寶拉珍選,抗老化修護菁華乳 RESIST Barrier Repair Moisturizer with Retinol,5.6
SHISEIDO,資生堂-東京櫃,敏感話題均衡乳液(I) d'program balance care emulsion I,5.6
BIOPEUTIC,葆療美,果酸乳液20 AHA Lotion 20,5.6
Beauty Credit,,緊緻乳液,5.6
Seba med,施巴,抗乾敏保濕乳液 Sebamed Anti-Dry hydrating body lotion,5.6
SKINFOOD,,萵苣黃瓜水嫩乳液,5.6
kuanyuanlian,廣源良,小黃瓜水嫩精華乳,5.6
Neogence,霓淨思,玻尿酸舒緩修護乳,5.5
Avene,雅漾,逆齡緊緻精華乳(夜),5.5
hydrobalance,水平衡,保水網水乳液(升級版),5.5
WHITE FORMULA,自白肌,玻尿酸濃密膠原保濕乳 Super Moist Lotion With Hyaluronic Acid,5.5
Kanebo,佳麗寶-專櫃,潤膚乳N,5.5
Neogence,霓淨思,PlusC抗氧透亮美白乳液 C + ANTI-OXIDIZATION WHITENING FLUID,5.5
Whoo,后,天氣丹津率享乳液,5.5
AQUA LABEL,水之印,保濕潤膚乳液（清爽型/潤澤型）,5.5
